"400 : Bad Request","400 : Bad Request"
"401 : Not Authorised","401 : Not Authorised"
"402 : Payment Required","402 : Payment Required"
"403 : Forbidden","403 : Forbidden"
"404 : Not Found","404 : Not Found"
"405 : Method Not Allowed","405 : Method Not Allowed"
"406 : Not Acceptable","406 : Not Acceptable"
"407 : Proxy Authentication Required","407 : Proxy Authentication Required"
"408 : Request Timeout","408 : Request Timeout"
"409 : Conflict","409 : Conflict"
"410 : Gone","410 : Gone"
"411 : Length Required","411 : Length Required"
"412 : Precondition Failed","412 : Precondition Failed"
"413 : Request Entity Too Large","413 : Request Entity Too Large"
"414 : Request URI Too Long","414 : Request URI Too Long"
"415 : Unsupported Media Type","415 : Unsupported Media Type"
"416 : Requested Range Not Satisfiable","416 : Requested Range Not Satisfiable"
"417 : Expectation Failed","417 : Expectation Failed"
"500 : Internal Server Error","500 : Internal Server Error"
"501 : Not Implemented","501 : Not Implemented"
"502 : Bad Gateway","502 : Bad Gateway"
"503 : Service Unavailable","503 : Service Unavailable"
"504 : Gateway Timeout","504 : Gateway Timeout"
"505 : HTTP Version Not Supported","505 : HTTP Version Not Supported"
"3002 : The VPSTxId is invalid.","3002 : The VPSTxId is invalid."
"3003 : The Currency is invalid.","3003 : The Currency is invalid."
"3004 : The Amount is invalid.","3004 : The Amount is invalid."
"3005 : The Amount is outside the minimum and maximum limits.","3005 : The Amount is outside the minimum and maximum limits."
"3006 : The fractional part of the Amount is invalid for the specified currency.","3006 : The fractional part of the Amount is invalid for the specified currency."
"3007 : The RelatedSecurityKey format invalid.","3007 : The RelatedSecurityKey format invalid."
"3008 : The Vendor or Vendorname format is invalid.","3008 : The Vendor or Vendorname format is invalid."
"3009 : The VendorTxCode is missing.","3009 : The VendorTxCode is missing."
"3010 : The RelatedVPSTxId is invalid.","3010 : The RelatedVPSTxId is invalid."
"3011 : The NotificationURL format is invalid.","3011 : The NotificationURL format is invalid."
